City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
204,Ayan,RU,56.45,138.1667,32.54,98,100,9.82,light snow
205,Khislavichi,RU,54.1871,32.1582,45.21,98,100,9.37,light rain
206,Gashua,NG,12.871,11.0482,89.38,12,83,10.58,broken clouds
207,Clarence Town,AU,-32.5833,151.7833,60.85,96,97,1.61,overcast clouds
208,Kristiansund,NO,63.1115,7.732,50.05,93,100,4.61,light intensity drizzle
209,Yumaguzino,RU,52.9041,56.3933,39.52,96,67,8.93,broken clouds
210,Mogadishu,SO,2.0371,45.3438,79.81,84,100,16.51,overcast clouds
211,Ust-Omchug,RU,61.15,149.6333,34.05,87,100,3.98,overcast clouds
212,Norman Wells,CA,65.282,-126.8329,44.64,81,100,16.11,overcast clouds
213,Wiarton,CA,44.7407,-81.1332,65.5,77,75,8.05,broken clouds
214,San,ML,13.3034,-4.8956,85.87,48,80,15.28,broken clouds
215,Gairo,IT,39.8497,9.5047,63.61,51,8,5.7,clear sky
216,Saint-Philippe,RE,-21.3585,55.7679,71.19,80,100,11.16,overcast clouds
217,Ivanivka,UA,46.7208,34.553,61.34,57,91,15.7,overcast clouds
218,Ilulissat,GL,69.2167,-51.1,33.87,82,99,6.4,overcast clouds
219,Bergama,TR,39.1207,27.1805,63.79,40,3,1.34,clear sky
220,Tumbes,PE,-3.5667,-80.4414,76.95,78,75,6.91,broken clouds
221,Nampula,MZ,-15.1165,39.2666,69.75,94,0,4.61,clear sky
222,Buraydah,SA,26.326,43.975,91.85,13,0,16.22,clear sky
223,Zhigalovo,RU,54.8097,105.1578,49.08,96,100,4.18,light rain
224,Pilar,BR,-9.5972,-35.9567,75.13,92,94,8.23,overcast clouds
225,Provideniya,RU,64.3833,-173.3,51.96,48,99,10.94,overcast clouds
226,Toropets,RU,56.4978,31.6353,47.08,78,100,9.66,overcast clouds
227,Penzance,GB,50.1186,-5.5371,55.4,84,100,7.45,overcast clouds
228,Carauari,BR,-4.8828,-66.8958,78.69,92,67,1.74,broken clouds
229,Mindelo,CV,16.8901,-24.9804,74.75,57,75,18.41,broken clouds
230,Kaeo,NZ,-35.1,173.7833,54.32,96,100,6.51,overcast clouds
231,Darhan,MN,49.4867,105.9228,52.88,79,74,1.36,broken clouds
